time,value
0,1.07899
1,0.906512
2,0.9016
3,0.72223
4,1.02109
5,0.942512
6,0.781775
7,0.923774
8,0.71331
9,1.3161
10,0.976636
11,1.06986
12,0.766927
13,1.09309
14,0.817285
15,0.849091
16,1.06484
17,1.1767
18,0.828364
19,0.760888
20,0.75387
21,1.00662
22,0.66795
23,0.53752
24,1.28481
25,1.33962
26,1.40169
27,0.953949
28,1.52381
29,1.55441
30,1.41107
31,1.37324
32,1.45394
33,1.24699
34,1.27087
35,1.07776
36,0.736644
37,1.39988
38,1.62782
39,2.12225
40,2.9798
41,1.5311
42,1.36362
43,0.896088
44,0.864747
45,0.704012
46,0.932725
47,0.97291
48,1.60111
49,2.29427
50,2.59058
51,4.4933
52,1.3146
53,1.04425
54,1.61163
55,3.01028
56,2.62622
57,2.19332
58,2.20293
59,1.94745
60,1.64272
61,2.38841
62,1.31646
63,1.10494
64,1.94724
65,0.587364
66,0.484911
67,1.21249
68,1.64
69,0.999054
70,0.63894
71,0.478734
72,0.515019
73,0.977945
74,0.602228
75,0.969327
76,1.23375
77,1.04441
78,1.15039
79,0.412589
80,0.201815
81,0.406618
82,0.349598
83,0.279766
84,0.401024
85,0.517466
86,0.43135
87,0.25891
88,0.276848
89,0.294465
90,0.30764
91,0.840925
92,0.758238
93,0.874566
94,1.28022
95,1.44337
96,0.937117
97,1.10813
98,1.91001
99,2.34783
100,0.992915
101,0.782818
102,0.833303
103,1.71918
104,0.583446
105,0.848574
106,0.708525
107,1.2749
108,1.70683
109,2.74552
110,1.62914
111,1.55821
112,1.48349
113,1.74048
114,1.15275
115,2.18142
116,2.66181
117,5.30545
118,3.52601
119,2.53795
120,2.40497
121,2.9273
122,3.46267
123,4.72255
124,2.55567
125,2.54651
126,3.93781
127,2.14906
128,3.08016
129,2.72037
130,0.97955
131,1.06629
132,1.38964
133,1.24961
134,1.35709
135,1.22664
136,1.3938
137,1.50073
138,1.49326
139,2.39543
140,2.56186
141,3.12672
142,3.0994
143,3.3739
144,1.32803
145,1.16248
146,0.952826
147,0.59635
148,0.819991
149,0.942679
150,1.26052
151,1.23979
152,1.18183
153,1.1405
154,1.34583
155,1.50462
156,0.76611
157,0.659833
158,0.484039
159,0.765925
160,0.66337
161,0.805716
162,0.792185
163,0.728969
164,0.617041
165,0.943999
166,0.803843
167,0.525522
168,0.562298
169,0.439815
170,0.415968
171,0.333952
172,0.384883
173,0.546397
174,0.551492
175,0.530786
176,0.733249
177,1.19249
178,1.36359
179,1.48306
180,2.38015
181,1.14742
182,1.13894
183,1.27042
184,0.784516
185,0.886739
186,1.50351
187,1.18114
188,1.67585
189,3.11958
190,3.06573
191,3.13532
192,2.12685
193,2.91593
194,2.3728
195,1.16953
196,0.885696
197,1.00452
198,1.20385
199,1.79325
200,1.13409
201,0.905756
202,0.889339
203,1.10929
204,0.825865
205,1.09651
206,1.98654
207,2.94222
208,2.36523
209,3.24067
210,1.26936
211,0.746297
212,0.835185
213,0.566597
214,0.528238
215,0.493601
216,0.488929
217,0.60641
218,0.46751
219,0.956229
220,0.890241
